compound_name,target_name,gene_symbol,uniprot_id,chembl_id,target_class,probability,source
Quercetin,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,1.0,SwissTargetPrediction
Quercetin,Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Quercetin,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,1.0,SwissTargetPrediction
Quercetin,Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,1.0,SwissTargetPrediction
Quercetin,Myeloperoxidase,MPO,P05164,CHEMBL2439,Enzyme,1.0,SwissTargetPrediction
Quercetin,PI3-kinase p85-alpha subunit,PIK3R1,P27986,CHEMBL2506,Enzyme,1.0,SwissTargetPrediction
Quercetin,Adenosine A2a receptor   (by homology),ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Quercetin,Death-associated protein kinase 1,DAPK1,P53355,CHEMBL2558,Kinase,1.0,SwissTargetPrediction
Quercetin,Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,1.0,SwissTargetPrediction
Quercetin,Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,1.0,SwissTargetPrediction
Quercetin,Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,1.0,SwissTargetPrediction
Quercetin,Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,1.0,SwissTargetPrediction
Quercetin,Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,CHEMBL2789,Enzyme,1.0,SwissTargetPrediction
Quercetin,Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,1.0,SwissTargetPrediction
Quercetin,Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,1.0,SwissTargetPrediction
Quercetin,Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,1.0,SwissTargetPrediction
Quercetin,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,1.0,SwissTargetPrediction
Quercetin,Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,1.0,SwissTargetPrediction
Quercetin,Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,1.0,SwissTargetPrediction
Quercetin,Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,1.0,SwissTargetPrediction
Quercetin,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,1.0,SwissTargetPrediction
Quercetin,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,1.0,SwissTargetPrediction
Quercetin,Protein kinase N1,PKN1,Q16512,CHEMBL3384,Kinase,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,1.0,SwissTargetPrediction
Quercetin,Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,1.0,SwissTargetPrediction
Quercetin,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,1.0,SwissTargetPrediction
Quercetin,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,1.0,SwissTargetPrediction
Quercetin,Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,1.0,SwissTargetPrediction
Quercetin,Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Quercetin,CaM kinase II beta,CAMK2B,Q13554,CHEMBL4121,Kinase,1.0,SwissTargetPrediction
Quercetin,ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,1.0,SwissTargetPrediction
Quercetin,Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,1.0,SwissTargetPrediction
Quercetin,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,1.0,SwissTargetPrediction
Quercetin,Serine/threonine-protein kinase NEK6,NEK6,Q9HC98,CHEMBL4309,Kinase,1.0,SwissTargetPrediction
Quercetin,Phospholipase A2 group 1B,PLA2G1B,P04054,CHEMBL4426,Enzyme,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,1.0,SwissTargetPrediction
Quercetin,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,1.0,SwissTargetPrediction
Quercetin,Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,1.0,SwissTargetPrediction
Quercetin,Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,1.0,SwissTargetPrediction
Quercetin,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,1.0,SwissTargetPrediction
Quercetin,NUAK family SNF1-like kinase 1,NUAK1,O60285,CHEMBL5784,Kinase,1.0,SwissTargetPrediction
Quercetin,Aldo-keto reductase family 1 member C2   (by homology),AKR1C2,P52895,CHEMBL5847,Enzyme,1.0,SwissTargetPrediction
Quercetin,Aldo-keto reductase family 1 member C1   (by homology),AKR1C1,Q04828,CHEMBL5905,Enzyme,1.0,SwissTargetPrediction
Quercetin,Aldo-keto-reductase family 1 member C3   (by homology),AKR1C3,P42330,CHEMBL4681,Enzyme,1.0,SwissTargetPrediction
Quercetin,Aldo-keto reductase family 1 member C4   (by homology),AKR1C4,P17516,CHEMBL4999,Enzyme,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,1.0,SwissTargetPrediction
Quercetin,Aldehyde reductase   (by homology),AKR1A1,P14550,CHEMBL2246,Enzyme,1.0,SwissTargetPrediction
Quercetin,G-protein coupled receptor 35,GPR35,Q9HC97,CHEMBL1293267,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Quercetin,Microtubule-associated protein tau,MAPT,P10636,CHEMBL1293224,Unclassified protein,0.68028359158,SwissTargetPrediction
Quercetin,Lysine-specific demethylase 4D-like,KDM4E,B2RXH2,CHEMBL1293226,Eraser,0.68028359158,SwissTargetPrediction
Quercetin,DNA topoisomerase II alpha,TOP2A,P11388,CHEMBL1806,Isomerase,0.68028359158,SwissTargetPrediction
Quercetin,Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.68028359158,SwissTargetPrediction
Quercetin,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,0.68028359158,SwissTargetPrediction
Quercetin,"Myosin light chain kinase, smooth muscle",MYLK,Q15746,CHEMBL2428,Kinase,0.68028359158,SwissTargetPrediction
Quercetin,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.68028359158,SwissTargetPrediction
Quercetin,PI3-kinase p110-gamma subunit,PIK3CG,P48736,CHEMBL3267,Enzyme,0.68028359158,SwissTargetPrediction
Quercetin,DNA-(apurinic or apyrimidinic site) lyase,APEX1,P27695,CHEMBL5619,Enzyme,0.68028359158,SwissTargetPrediction
Quercetin,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.545871744949,SwissTargetPrediction
Quercetin,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.545871744949,SwissTargetPrediction
Quercetin,DNA-3-methyladenine glycosylase,MPG,P29372,CHEMBL3396943,Enzyme,0.545871744949,SwissTargetPrediction
Quercetin,Solute carrier family 22 member 12,SLC22A12,Q96S37,CHEMBL6120,Electrochemical transporter,0.545871744949,SwissTargetPrediction
Quercetin,Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.538061807395,SwissTargetPrediction
Quercetin,Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.538061807395,SwissTargetPrediction
Quercetin,Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.538061807395,SwissTargetPrediction
Quercetin,Cyclin-dependent kinase 6,CDK6,Q00534,CHEMBL2508,Kinase,0.498513190462,SwissTargetPrediction
Quercetin,Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.498513190462,SwissTargetPrediction
Quercetin,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.395895175206,SwissTargetPrediction
Quercetin,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,0.395895175206,SwissTargetPrediction
Quercetin,Aryl hydrocarbon receptor,AHR,P35869,CHEMBL3201,Transcription factor,0.395895175206,SwissTargetPrediction
Quercetin,Estrogen-related receptor alpha,ESRRA,P11474,CHEMBL3429,Nuclear receptor,0.395895175206,SwissTargetPrediction
Quercetin,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.261559713213,SwissTargetPrediction
Quercetin,Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.261559713213,SwissTargetPrediction
Quercetin,Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,0.261559713213,SwissTargetPrediction
Quercetin,Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.261559713213,SwissTargetPrediction
Quercetin,Lymphocyte differentiation antigen CD38,CD38,P28907,CHEMBL4660,Enzyme,0.261559713213,SwissTargetPrediction
Quercetin,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.261559713213,SwissTargetPrediction
Quercetin,Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.261559713213,SwissTargetPrediction
Quercetin,Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.261559713213,SwissTargetPrediction
Quercetin,DNA topoisomerase I   (by homology),TOP1,P11387,CHEMBL1781,Isomerase,0.261559713213,SwissTargetPrediction
Quercetin,Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.198389228663,SwissTargetPrediction
Kaempferol,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,1.0,SwissTargetPrediction
Kaempferol,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,1.0,SwissTargetPrediction
Kaempferol,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,1.0,SwissTargetPrediction
Kaempferol,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,1.0,SwissTargetPrediction
Kaempferol,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,1.0,SwissTargetPrediction
Kaempferol,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,1.0,SwissTargetPrediction
Kaempferol,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,1.0,SwissTargetPrediction
Kaempferol,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,1.0,SwissTargetPrediction
Kaempferol,Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,CHEMBL2789,Enzyme,1.0,SwissTargetPrediction
Kaempferol,Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,1.0,SwissTargetPrediction
Kaempferol,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,1.0,SwissTargetPrediction
Kaempferol,Aryl hydrocarbon receptor,AHR,P35869,CHEMBL3201,Transcription factor,1.0,SwissTargetPrediction
Kaempferol,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,1.0,SwissTargetPrediction
Kaempferol,Estrogen-related receptor alpha,ESRRA,P11474,CHEMBL3429,Nuclear receptor,1.0,SwissTargetPrediction
Kaempferol,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,1.0,SwissTargetPrediction
Kaempferol,Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,1.0,SwissTargetPrediction
Kaempferol,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,1.0,SwissTargetPrediction
Kaempferol,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.795047263017,SwissTargetPrediction
Kaempferol,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.795047263017,SwissTargetPrediction
Kaempferol,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,0.768469201135,SwissTargetPrediction
Kaempferol,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.658019737641,SwissTargetPrediction
Kaempferol,Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,0.658019737641,SwissTargetPrediction
Kaempferol,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.658019737641,SwissTargetPrediction
Kaempferol,Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.658019737641,SwissTargetPrediction
Kaempferol,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.658019737641,SwissTargetPrediction
Kaempferol,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.658019737641,SwissTargetPrediction
Kaempferol,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.649780750482,SwissTargetPrediction
Kaempferol,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.63332626242,SwissTargetPrediction
Kaempferol,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.608446264357,SwissTargetPrediction
Kaempferol,Adenosine A2a receptor   (by homology),ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.567301899877,SwissTargetPrediction
Kaempferol,Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.517921498424,SwissTargetPrediction
Kaempferol,Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.517921498424,SwissTargetPrediction
Kaempferol,Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.517921498424,SwissTargetPrediction
Kaempferol,G-protein coupled receptor 35,GPR35,Q9HC97,CHEMBL1293267,Family A G protein-coupled receptor,0.50153001777,SwissTargetPrediction
Kaempferol,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.50153001777,SwissTargetPrediction
Kaempferol,Death-associated protein kinase 1,DAPK1,P53355,CHEMBL2558,Kinase,0.50153001777,SwissTargetPrediction
Kaempferol,DNA-3-methyladenine glycosylase,MPG,P29372,CHEMBL3396943,Enzyme,0.50153001777,SwissTargetPrediction
Kaempferol,Solute carrier family 22 member 12,SLC22A12,Q96S37,CHEMBL6120,Electrochemical transporter,0.50153001777,SwissTargetPrediction
Kaempferol,Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,0.484896362689,SwissTargetPrediction
Kaempferol,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.484896362689,SwissTargetPrediction
Kaempferol,Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.484896362689,SwissTargetPrediction
Kaempferol,Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.484896362689,SwissTargetPrediction
Kaempferol,Cyclin-dependent kinase 6,CDK6,Q00534,CHEMBL2508,Kinase,0.476835618279,SwissTargetPrediction
Kaempferol,Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.476835618279,SwissTargetPrediction
Kaempferol,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.427205274608,SwissTargetPrediction
Kaempferol,Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,0.427205274608,SwissTargetPrediction
Kaempferol,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Vasopressin V2 receptor,AVPR2,P30518,CHEMBL1790,Family A G protein-coupled receptor,0.40264337958,SwissTargetPrediction
Kaempferol,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Thrombin,F2,P00734,CHEMBL204,Protease,0.40264337958,SwissTargetPrediction
Kaempferol,Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.40264337958,SwissTargetPrediction
Kaempferol,Myeloperoxidase,MPO,P05164,CHEMBL2439,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,PI3-kinase p85-alpha subunit,PIK3R1,P27986,CHEMBL2506,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.40264337958,SwissTargetPrediction
Kaempferol,Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Protein kinase N1,PKN1,Q16512,CHEMBL3384,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.40264337958,SwissTargetPrediction
Kaempferol,CaM kinase II beta,CAMK2B,Q13554,CHEMBL4121,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Serine/threonine-protein kinase NEK6,NEK6,Q9HC98,CHEMBL4309,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Phospholipase A2 group 1B,PLA2G1B,P04054,CHEMBL4426,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0.40264337958,SwissTargetPrediction
Kaempferol,Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,NUAK family SNF1-like kinase 1,NUAK1,O60285,CHEMBL5784,Kinase,0.40264337958,SwissTargetPrediction
Kaempferol,Aldo-keto reductase family 1 member C2   (by homology),AKR1C2,P52895,CHEMBL5847,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Aldo-keto reductase family 1 member C1   (by homology),AKR1C1,Q04828,CHEMBL5905,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Aldo-keto-reductase family 1 member C3   (by homology),AKR1C3,P42330,CHEMBL4681,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Aldo-keto reductase family 1 member C4   (by homology),AKR1C4,P17516,CHEMBL4999,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.40264337958,SwissTargetPrediction
Kaempferol,Aldehyde reductase   (by homology),AKR1A1,P14550,CHEMBL2246,Enzyme,0.40264337958,SwissTargetPrediction
Kaempferol,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.295453304889,SwissTargetPrediction
Kaempferol,Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.295453304889,SwissTargetPrediction
Kaempferol,Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.295453304889,SwissTargetPrediction
